Player,Position,Team,Opp.,PaCom,PaAtt,PaYds,PaTD,PaINT,RuAtt,RuYds,RuTD,Fum.,Tar,Rec,ReYds,ReTD,FPTS
TreVeyon Henderson,RB,NE,,0,0,0,0,0,218.9,953.4,6.1,,53.8,41.3,318.5,1.8,195.2
Jaxon Smith-Njigba,WR,SEA,,0,0,0,0,0,4.6,27.8,0.1,,129.2,87.5,1071.7,6.2,191.5
D'Andre Swift,RB,CHI,,0,0,0,0,0,234.4,966.1,7.2,,46.5,35.9,277,1,191.5
Garrett Wilson,WR,NYJ,,0,0,0,0,0,4.2,20.5,0.1,,140.2,87.6,1122.9,5.2,189.9
T.J. Hockenson,TE,MIN,,0,0,0,0,0,0,0,0,,110.3,76.4,767,3.9,138.3
Mike Evans,WR,TB,,0,0,0,0,0,0,0,0,,115.6,75.8,990.3,8.4,187.3
Marvin Harrison Jr.,WR,ARZ,,0,0,0,0,0,1,4,0.1,,129,77,1051.4,6.8,185.4
Kaleb Johnson,RB,PIT,,0,0,0,0,0,244,1032.5,7.3,,35,26.7,190.3,0.9,184.8
Travis Kelce,TE,KC,,0,0,0,0,0,0,0,0,,98,72,695.6,4.8,134.4
Terry McLaurin,WR,WAS,,0,0,0,0,0,1.9,10.2,0,,117.7,78.4,1035.7,6.7,184
David Njoku,TE,CLE,,0,0,0,0,0,0,0,0,,101.8,68.5,668.4,5.2,132.3
DJ Moore,WR,CHI,,0,0,0,0,0,7.3,40.5,0.1,,125.5,83,1001.6,6,182.3
RJ Harvey,RB,DEN,,0,0,0,0,0,181.4,778.9,5.1,,61.1,47,361.5,2,180.1
Mark Andrews,TE,BAL,,0,0,0,0,0,5,13.5,0.1,,74.4,55.4,616.7,6.6,130.9
Bo Nix,QB,DEN,,352.8,530.7,3709.1,25.6,12,79.1,386.1,4,,0,0,0,0,352.6
David Montgomery,RB,DET,,0,0,0,0,0,184.8,768.6,9.5,,36.5,30.5,232.4,1.1,179
